waistH footL handL sitH sleeveL neckC chestC waistC thighC stomachD height weight gender
1054 273 193 928 600 400 1074 933 610 266 1776 815 Male
1054 263 195 884 564 380 1021 870 572 233 1702 726 Male
1041 270 203 917 604 403 1120 964 685 287 1735 929 Male
968 267 194 903 550 407 1114 857 604 234 1655 794 Male
1245 305 218 919 641 398 1048 868 672 250 1914 946 Male
1020 254 190 898 605 395 1066 950 607 263 1720 802 Male
1082 285 220 957 613 461 1208 1073 754 314 1810 1162 Male
1110 281 198 952 643 412 1087 1010 644 304 1850 954 Male
1033 266 197 922 585 435 1181 1065 635 321 1777 995 Male
1091 278 200 932 633 372 964 824 525 227 1811 702 Male
1033 265 200 969 580 445 1117 994 624 272 1780 882 Male
1067 256 194 871 600 374 961 866 567 227 1733 701 Male
1128 291 210 906 650 436 1151 986 689 268 1814 1037 Male
1130 274 194 966 644 468 1231 1045 704 288 1861 1116 Male
1012 266 184 918 572 399 1060 1007 695 261 1709 896 Male
1048 278 203 864 619 435 1092 1033 640 308 1740 924 Male
1020 270 188 899 571 402 1085 908 604 245 1694 779 Male
1030 270 203 929 595 411 1118 1028 674 310 1766 969 Male
1091 266 179 915 576 385 999 874 613 225 1748 760 Male
1054 277 198 969 611 392 1127 999 632 270 1794 908 Male
1076 275 195 949 600 377 1000 837 553 209 1780 714 Male
1003 254 185 914 563 367 977 880 638 245 1680 746 Male
1005 267 180 867 552 388 1079 978 639 258 1653 792 Male
1225 301 227 959 696 378 1011 827 646 219 1959 915 Male
1057 277 194 945 597 407 1098 1030 665 286 1755 965 Male
959 263 181 874 529 363 957 885 588 250 1630 675 Male
1063 266 199 961 600 414 1158 1130 706 321 1825 1073 Male
1070 275 192 958 582 365 964 912 621 247 1795 793 Male
1048 278 193 906 605 375 971 864 635 240 1745 782 Male
1083 271 196 980 577 384 1057 965 646 268 1818 882 Male
1137 262 192 983 625 374 957 777 531 193 1881 715 Male
1041 273 201 933 635 395 1108 1063 684 294 1760 947 Male
1016 269 187 880 578 358 947 870 557 245 1675 665 Male
1139 280 195 933 650 392 1043 966 617 261 1852 879 Male
1071 265 193 932 594 383 965 806 528 230 1785 675 Male
1053 284 194 927 634 397 1174 1096 620 301 1791 884 Male
1012 236 183 882 586 357 951 895 637 261 1685 695 Male
1107 295 197 959 635 414 1182 1214 781 339 1850 1218 Male
1045 284 210 900 611 385 981 790 594 204 1737 719 Male
1012 275 196 931 570 414 1086 1002 613 285 1743 881 Male
1044 250 184 932 593 353 865 748 497 212 1744 575 Male
966 258 189 857 559 440 1205 1043 628 322 1679 876 Male
1099 293 206 992 578 384 1013 864 627 219 1836 850 Male
1048 269 190 913 563 394 1152 969 630 273 1730 865 Male
1052 272 198 927 575 402 1096 1095 698 305 1762 958 Male
975 256 190 921 552 362 957 770 551 204 1669 667 Male
1039 260 200 940 590 381 985 840 570 229 1740 706 Male
1024 237 183 918 589 415 1063 1028 652 275 1709 847 Male
1114 295 212 999 587 421 1137 1021 642 279 1879 1013 Male
949 255 184 890 562 392 1106 1061 658 304 1674 856 Male
1053 287 206 929 581 400 1166 1139 773 308 1779 1095 Male
