condition rt
1 339
1 373
1 451
1 739
1 354
1 441
1 541
1 375
1 402
1 425
1 331
1 727
1 454
1 715
1 288
1 542
1 489
1 350
1 574
1 559
1 326
1 348
1 380
1 487
1 385
1 359
1 410
1 654
1 402
1 364
1 398
1 389
1 469
1 524
1 406
1 396
1 532
1 569
1 390
1 379
1 376
1 416
1 333
1 571
1 311
1 314
1 362
1 306
1 418
1 451
1 544
1 342
1 373
1 613
1 406
1 329
1 412
1 553
1 305
1 374
1 562
1 388
1 553
1 351
1 374
1 357
1 384
1 307
1 386
1 517
1 356
1 495
1 647
1 444
1 589
1 390
1 502
1 340
1 418
1 329
1 456
1 355
1 562
1 301
1 539
1 382
1 297
1 359
1 319
1 476
1 564
1 308
1 301
1 566
1 616
1 313
1 355
1 385
1 419
1 485
1 523
1 415
1 466
1 354
1 673
1 397
1 335
1 390
1 489
1 372
1 463
1 621
1 310
1 359
1 343
1 467
1 811
1 902
1 334
1 393
1 360
1 280
1 423
1 814
1 362
1 489
1 427
1 385
1 296
1 443
1 511
1 372
1 393
1 463
1 382
1 748
1 374
1 401
1 447
1 306
1 342
1 336
1 650
1 367
1 508
1 406
1 308
1 793
1 348
1 393
1 454
1 331
1 405
1 576
1 621
1 282
1 322
1 297
1 383
1 321
1 396
1 533
1 434
1 420
1 551
1 353
1 376
1 428
1 560
1 435
1 392
1 313
1 310
1 395
1 368
1 351
1 442
1 394
1 310
1 285
1 282
1 488
1 427
1 486
1 343
1 296
1 308
1 536
1 359
1 520
1 316
1 249
1 446
1 510
1 401
1 351
1 369
1 437
1 263
1 277
1 325
1 396
1 508
1 468
1 495
1 804
1 325
1 407
1 387
1 406
1 338
1 342
1 494
1 544
1 308
1 609
1 532
1 270
1 471
1 401
1 364
1 476
1 342
1 409
1 316
1 718
1 647
1 316
1 375
1 344
1 552
1 328
1 422
1 383
1 294
1 355
1 353
1 496
1 352
1 291
1 403
1 450
1 432
1 530
1 737
1 307
1 410
1 719
1 371
1 462
1 285
1 497
1 420
1 345
1 466
1 312
1 512
1 327
1 349
1 343
1 362
1 565
1 737
1 360
1 416
1 375
1 393
1 330
1 535
1 541
1 367
1 419
1 451
1 499
1 392
1 310
1 340
1 325
1 479
1 334
1 558
1 399
1 451
1 348
1 361
1 473
1 348
1 533
1 289
1 535
1 491
1 427
1 447
1 465
1 333
1 388
1 528
1 565
1 475
1 351
1 393
1 321
1 389
1 592
1 654
1 399
1 420
1 421
1 490
1 426
1 307
1 421
1 296
1 496
1 414
1 450
1 427
1 376
1 316
1 588
1 593
1 464
1 354
1 461
1 287
1 235
1 328
1 442
1 366
1 259
1 286
1 422
1 460
1 374
1 359
1 367
1 315
1 324
1 356
1 613
1 349
1 250
1 331
1 336
1 699
1 457
1 815
1 374
1 363
1 382
1 464
1 276
1 285
1 405
1 446
1 964
1 360
1 331
1 376
1 633
1 429
1 412
1 264
1 398
1 344
1 498
1 675
1 370
1 282
1 429
1 909
1 363
1 298
1 384
1 641
1 448
1 279
1 501
1 462
1 606
1 365
1 494
1 250
1 422
1 439
1 359
1 345
1 501
1 513
1 575
1 638
1 428
1 406
1 714
1 500
1 380
1 299
1 506
1 360
1 557
1 309
1 404
1 436
1 481
1 345
1 697
1 302
1 447
1 621
1 308
1 376
1 491
1 315
1 1545
1 337
1 331
1 512
1 287
1 351
1 306
1 433
1 365
1 542
1 467
1 408
1 520
1 311
1 397
1 587
1 541
1 562
1 552
1 400
1 515
1 531
1 298
1 438
1 382
1 310
1 368
1 305
1 336
1 382
1 313
1 354
1 461
1 538
1 373
1 610
1 371
1 422
1 558
1 258
1 349
1 430
1 461
1 487
1 350
1 422
1 572
1 371
1 390
1 343
1 326
1 430
1 577
1 515
1 327
1 336
1 386
1 394
1 275
1 538
1 300
1 370
1 608
1 272
1 484
1 530
1 394
1 343
1 393
1 396
1 352
1 685
1 323
1 363
1 357
1 421
1 397
1 499
1 451
1 368
1 493
1 667
1 618
1 356
1 403
1 451
1 390
1 373
1 664
1 363
1 385
1 357
1 399
1 327
1 289
1 402
1 435
1 398
1 602
1 373
1 349
1 426
1 348
1 301
1 431
1 390
1 554
1 309
1 476
1 916
1 423
1 370
1 415
1 314
1 329
1 600
1 408
1 973
1 337
1 1015
1 309
1 310
1 350
1 385
1 431
1 294
1 599
1 438
1 402
1 764
1 389
1 414
1 318
1 341
1 729
1 473
1 272
1 395
1 465
1 400
1 449
1 447
1 570
1 569
1 430
1 385
1 330
1 334
1 340
1 422
1 456
1 584
1 574
1 369
1 318
1 341
1 277
1 415
1 351
1 380
1 465
1 286
1 425
1 391
1 367
1 289
1 392
1 346
1 488
1 281
1 438
1 332
1 356
1 369
1 287
1 303
1 512
1 393
1 266
1 368
1 416
1 354
1 467
1 329
1 420
1 491
1 372
1 321
1 381
1 372
1 359
1 406
1 318
1 266
1 361
1 422
1 419
1 314
1 871
1 282
1 532
1 395
1 494
1 349
1 411
1 306
1 351
1 346
1 682
1 621
1 463
1 404
1 391
1 464
1 282
1 460
1 359
1 403
1 275
1 547
1 506
1 377
1 342
1 435
1 337
1 583
1 451
1 480
1 317
1 245
1 358
1 406
1 314
1 531
1 704
1 337
1 606
1 291
1 613
1 331
1 330
1 580
1 344
1 452
1 264
1 402
1 584
1 379
1 523
1 721
1 494
1 430
1 396
1 420
1 315
1 261
1 381
1 464
1 547
1 365
1 336
1 372
1 292
1 393
1 311
1 277
1 425
1 367
1 541
1 357
1 352
1 533
1 864
1 337
1 336
1 435
1 436
1 353
1 443
1 348
1 332
1 294
1 349
1 291
1 311
1 450
1 477
1 367
1 329
1 444
1 607
1 423
1 375
1 464
1 446
1 406
1 393
1 321
1 370
1 525
1 435
1 488
1 622
1 316
1 403
1 520
1 397
1 310
1 546
1 513
1 380
1 403
1 448
1 560
1 501
1 320
1 516
1 580
1 817
1 492
1 493
1 497
1 682
1 446
1 421
1 433
1 344
1 352
1 316
1 326
1 327
1 336
1 531
1 419
1 490
1 324
1 557
1 303
1 440
1 405
1 499
1 326
1 350
1 655
1 368
1 311
1 535
1 525
1 421
1 335
1 559
1 300
1 379
1 551
1 288
1 461
1 362
1 361
1 389
1 560
1 293
1 275
1 624
1 357
1 367
1 468
1 274
1 327
1 527
1 532
1 391
1 521
1 291
1 580
1 510
1 586
1 440
1 462
1 443
1 349
1 397
1 435
1 761
1 715
1 611
1 765
1 345
1 400
1 422
1 292
1 369
1 311
1 592
1 443
1 414
1 386
1 471
1 430
1 343
1 387
1 1070
1 462
1 551
1 623
1 389
1 257
1 328
1 355
1 370
1 415
1 368
1 368
1 556
1 338
1 368
1 535
1 315
1 296
1 609
1 321
1 349
1 402
1 331
1 487
1 377
1 352
1 381
1 478
1 641
1 304
1 337
1 402
1 297
1 325
1 280
1 255
1 475
1 324
1 387
1 631
1 334
1 663
1 511
1 398
1 588
1 417
1 404
1 324
1 544
1 340
1 513
1 335
1 453
1 465
1 316
1 292
1 327
1 322
1 360
1 374
1 577
1 569
1 351
1 277
1 271
1 415
1 365
1 569
1 310
1 919
1 410
1 358
1 294
1 419
1 293
1 578
1 495
1 380
1 419
1 480
1 490
1 427
1 404
1 388
1 431
1 328
1 572
1 582
1 289
1 386
1 281
1 369
1 414
1 446
1 420
1 461
1 547
1 288
1 906
1 346
1 253
1 449
1 341
1 318
1 403
1 485
1 343
1 399
1 506
1 504
1 351
1 342
1 588
1 524
1 311
1 502
1 355
1 333
1 444
1 306
1 402
1 334
1 441
1 324
1 661
1 366
1 332
1 528
1 404
1 525
1 432
1 432
1 322
1 556
1 392
1 445
1 310
1 321
1 270
1 353
1 396
1 479
1 363
1 459
1 382
1 419
1 356
1 418
1 455
1 389
1 531
1 503
1 444
1 411
1 351
1 432
1 327
1 483
1 345
1 243
1 365
1 383
1 623
1 351
1 398
1 527
1 374
1 311
1 418
1 359
1 735
1 428
1 571
1 613
1 344
1 601
1 483
1 390
1 328
1 705
1 424
1 515
1 381
1 335
1 370
1 374
1 312
1 381
1 328
1 423
1 383
1 429
1 427
1 652
1 362
1 382
1 361
1 269
1 443
1 320
1 308
1 473
1 486
1 305
1 428
1 345
1 455
1 465
1 538
1 349
1 419
1 301
1 544
1 358
1 416
1 345
1 654
1 322
1 342
1 344
1 337
1 351
1 390
1 394
1 388
1 405
1 420
1 336
1 495
1 469
1 329
1 593
1 591
1 284
1 351
1 414
1 373
1 412
1 317
1 403
1 508
1 468
1 382
1 367
1 304
1 404
1 347
1 382
1 319
1 468
1 412
1 403
1 295
1 311
1 518
1 403
1 494
1 389
1 381
1 283
1 745
1 382
1 622
1 380
1 369
1 374
1 369
1 449
1 265
1 906
1 643
1 386
1 331
1 482
1 526
1 281
1 437
1 386
1 404
1 380
1 284
1 397
1 666
1 555
1 306
1 311
1 869
1 592
1 496
1 446
1 512
1 367
1 637
1 470
1 358
1 319
1 459
1 311
1 927
1 294
1 290
1 385
1 341
1 543
1 576
1 664
1 357
1 324
1 398
1 306
1 475
1 549
1 444
1 288
1 518
1 297
1 379
1 339
1 279
1 656
1 475
1 375
1 483
1 490
1 406
1 518
1 354
1 338
1 274
1 527
1 420
1 375
