course question response frequency
1 1 1 1
1 1 2 2
1 1 3 4
1 1 4 16
1 1 5 17
1 1 6 10
1 1 7 18
1 2 1 1
1 2 2 1
1 2 3 2
1 2 4 10
1 2 5 12
1 2 6 15
1 2 7 28
1 3 1 1
1 3 2 1
1 3 3 1
1 3 4 8
1 3 5 18
1 3 6 12
1 3 7 28
1 4 1 1
1 4 2 2
1 4 3 4
1 4 4 9
1 4 5 8
1 4 6 15
1 4 7 28
1 5 1 1
1 5 2 2
1 5 3 0
1 5 4 9
1 5 5 14
1 5 6 11
1 5 7 30
1 6 1 1
1 6 2 2
1 6 3 0
1 6 4 9
1 6 5 8
1 6 6 21
1 6 7 27
1 7 1 3
1 7 2 3
1 7 3 3
1 7 4 10
1 7 5 10
1 7 6 14
1 7 7 26
1 8 1 1
1 8 2 1
1 8 3 1
1 8 4 10
1 8 5 8
1 8 6 6
1 8 7 22
1 9 1 1
1 9 2 2
1 9 3 0
1 9 4 8
1 9 5 9
1 9 6 10
1 9 7 35
1 10 1 1
1 10 2 1
1 10 3 2
1 10 4 11
1 10 5 14
1 10 6 17
1 10 7 23
1 11 1 2
1 11 2 4
1 11 3 1
1 11 4 12
1 11 5 16
1 11 6 8
1 11 7 24
1 12 1 1
1 12 2 2
1 12 3 1
1 12 4 8
1 12 5 7
1 12 6 9
1 12 7 33
1 13 1 2
1 13 2 3
1 13 3 1
1 13 4 15
1 13 5 7
1 13 6 7
1 13 7 22
1 14 1 2
1 14 2 1
1 14 3 2
1 14 4 7
1 14 5 10
1 14 6 7
1 14 7 31
1 15 1 2
1 15 2 4
1 15 3 2
1 15 4 14
1 15 5 10
1 15 6 12
1 15 7 22
1 16 1 1
1 16 2 1
1 16 3 1
1 16 4 5
1 16 5 11
1 16 6 12
1 16 7 38
1 17 1 1
1 17 2 1
1 17 3 0
1 17 4 8
1 17 5 8
1 17 6 11
1 17 7 24
1 18 1 1
1 18 2 3
1 18 3 3
1 18 4 10
1 18 5 12
1 18 6 10
1 18 7 24
2 1 1 3
2 1 2 2
2 1 3 2
2 1 4 6
2 1 5 1
