course question score
c1 q1 5.18
c1 q2 5.72
c1 q3 5.74
c1 q4 5.66
c1 q5 5.78
c1 q6 5.82
c1 q7 5.42
c1 q8 5.63
c1 q9 5.95
c1 q10 5.59
c1 q11 5.33
c1 q12 5.9
c1 q13 5.3
c1 q14 5.78
c1 q15 5.27
c1 q16 6.07
c1 q17 5.83
c1 q18 5.46
c2 q1 4.1
c2 q2 4.05
c2 q3 4.4
c2 q4 4
c2 q5 4.1
c2 q6 4.55
c2 q7 3.85
c2 q8 4.13
c2 q9 4.7
c2 q10 4.2
c2 q11 4.16
c2 q12 4.4
c2 q13 3.95
c2 q14 6
c2 q15 4.28
c2 q16 4.9
c2 q17 5
c2 q18 3.75
c3 q1 4.75
c3 q2 5.25
c3 q3 5.5
c3 q4 4.78
c3 q5 5.13
c3 q6 5.26
c3 q7 4.62
c3 q8 4.86
c3 q9 5.5
c3 q10 4.92
c3 q11 4.62
c3 q12 4.66
c3 q13 4.58
c3 q14 4.57
c3 q15 4.53
c3 q16 6
c3 q17 5.83
c3 q18 5.26
c4 q1 5.25
c4 q2 4.92
c4 q3 5.5
c4 q4 5
c4 q5 5.08
c4 q6 5.08
c4 q7 4.36
c4 q8 5
c4 q9 5.82
c4 q10 5
c4 q11 4
c4 q12 5.25
c4 q13 4.17
c4 q14 4.5
c4 q15 3.83
c4 q16 5.75
c4 q17 5.82
c4 q18 4.36
c5 q1 4.55
c5 q2 4.4
c5 q3 4.8
c5 q4 3.8
c5 q5 4.45
c5 q6 4.9
c5 q7 4.06
c5 q8 4.53
c5 q9 4.85
c5 q10 4.35
c5 q11 4.1
c5 q12 4.83
c5 q13 4.16
c5 q14 4.75
c5 q15 4.4
c5 q16 5.45
c5 q17 5.06
c5 q18 4.56
c6 q1 4.75
c6 q2 4.46
c6 q3 5.54
c6 q4 4.71
c6 q5 5.18
c6 q6 5.36
c6 q7 4.5
c6 q8 5.3
c6 q9 5.59
c6 q10 5.11
c6 q11 4.68
c6 q12 5.88
c6 q13 4.56
c6 q14 6.5
c6 q15 4.96
c6 q16 5.75
c6 q17 5.41
c6 q18 5.07
c7 q1 5.6
c7 q2 5.3
c7 q3 5.9
c7 q4 5.2
c7 q5 5.3
c7 q6 5.4
c7 q7 5.2
c7 q8 5.22
c7 q9 5.1
c7 q10 5.6
c7 q11 4.78
c7 q12 4.78
c7 q13 4.2
c7 q14 4.8
c7 q15 5
c7 q16 5.9
c7 q17 5.56
c7 q18 5
c8 q1 3.93
c8 q2 3.86
c8 q3 4.38
c8 q4 3.5
c8 q5 4.58
c8 q6 4.5
c8 q7 3.71
c8 q8 4.67
c8 q9 4.54
c8 q10 4.07
c8 q11 3.77
c8 q12 4.15
c8 q13 3.83
c8 q14 5.4
c8 q15 3.69
c8 q16 5
c8 q17 4.73
c8 q18 4.18
c9 q1 5.27
c9 q2 5.09
c9 q3 5.73
c9 q4 5.27
c9 q5 5.43
c9 q6 5.77
c9 q7 5
c9 q8 5.84
c9 q9 6.05
c9 q10 5.67
c9 q11 5.18
c9 q12 5.59
c9 q13 5.4
c9 q14 5
c9 q15 5.05
c9 q16 5.82
c9 q17 6.05
c9 q18 5.36
c10 q1 5.24
c10 q2 5.62
c10 q3 5.67
c10 q4 4.9
c10 q5 5.52
c10 q6 5.47
c10 q7 4.48
c10 q8 5.06
c10 q9 5.62
c10 q10 5.33
c10 q11 4.81
c10 q12 5.15
c10 q13 4.33
c10 q14 4.8
c10 q15 4.4
c10 q16 6.1
c10 q17 5.5
c10 q18 4.45
c11 q1 6.37
c11 q2 6.38
c11 q3 6.03
c11 q4 6.24
c11 q5 6.27
c11 q6 6.37
c11 q7 6.14
c11 q8 6.15
c11 q9 6.27
c11 q10 6.42
c11 q11 6.22
c11 q12 5.83
c11 q13 5.41
c11 q14 5.91
c11 q15 5.5
c11 q16 6.63
c11 q17 6.33
c11 q18 6.19
c12 q1 4.62
c12 q2 5.21
c12 q3 5.18
c12 q4 5.05
c12 q5 5.26
c12 q6 5.29
c12 q7 4.95
c12 q8 5.32
c12 q9 5.51
c12 q10 5.17
c12 q11 5.11
c12 q12 5.62
c12 q13 4.9
c12 q14 5.68
c12 q15 4.85
c12 q16 5.4
c12 q17 5.47
c12 q18 5.15
c13 q1 4.65
c13 q2 5.13
c13 q3 5.08
c13 q4 4.93
c13 q5 5.22
c13 q6 5.07
c13 q7 4.87
c13 q8 5.28
c13 q9 5.62
c13 q10 5.08
c13 q11 5.01
c13 q12 5.66
c13 q13 4.63
c13 q14 5.71
c13 q15 4.67
c13 q16 5.38
c13 q17 5.38
c13 q18 5.06
c14 q1 4.43
c14 q2 5.15
c14 q3 5.11
c14 q4 5.01
c14 q5 5.25
c14 q6 5.08
c14 q7 4.77
c14 q8 5.26
c14 q9 5.65
c14 q10 5.06
c14 q11 5.03
c14 q12 5.75
c14 q13 4.79
c14 q14 5.71
c14 q15 4.76
c14 q16 5.46
c14 q17 5.49
c14 q18 5.1
c15 q1 4.84
c15 q2 5.29
c15 q3 5.41
c15 q4 5.13
c15 q5 5.45
c15 q6 5.3
c15 q7 5.03
c15 q8 5.36
c15 q9 5.6
c15 q10 5.23
c15 q11 5.1
c15 q12 5.78
c15 q13 5.08
c15 q14 5.79
c15 q15 4.94
c15 q16 5.42
c15 q17 5.54
c15 q18 5.25
c16 q1 6.08
c16 q2 5.73
c16 q3 5.38
c16 q4 5.81
c16 q5 5.73
c16 q6 6.31
c16 q7 5.69
c16 q8 5.77
c16 q9 5.88
c16 q10 6
c16 q11 5.69
c16 q12 6.18
c16 q13 5.46
c16 q14 6.8
c16 q15 5.29
c16 q16 6.32
c16 q17 5.92
c16 q18 5.76
c17 q1 6.5
c17 q2 6.57
c17 q3 6.38
c17 q4 6.46
c17 q5 6.52
c17 q6 6.71
c17 q7 6.5
c17 q8 6.24
c17 q9 6.46
c17 q10 6.54
c17 q11 6.25
c17 q12 5.85
c17 q13 6.12
c17 q14 6.4
c17 q15 5.9
c17 q16 6.75
c17 q17 6.48
c17 q18 6.42
c18 q1 5.7
c18 q2 5.23
c18 q3 5.97
c18 q4 5.87
c18 q5 5.71
c18 q6 6.04
c18 q7 5.58
c18 q8 5.84
c18 q9 5.97
c18 q10 5.75
c18 q11 5.61
c18 q12 5.75
c18 q13 5.17
c18 q14 6.13
c18 q15 5.62
c18 q16 6.15
c18 q17 6.08
c18 q18 5.73
c19 q1 6.5
c19 q2 6.38
c19 q3 6.19
c19 q4 6.56
c19 q5 6.5
c19 q6 6.62
c19 q7 6.38
c19 q8 6.69
c19 q9 6.69
c19 q10 6.56
c19 q11 6.25
c19 q12 6.78
c19 q13 5.88
c19 q14 6.21
c19 q15 6.44
c19 q16 6.75
c19 q17 6.44
c19 q18 6.14
c20 q1 6.73
c20 q2 6.4
c20 q3 6.4
c20 q4 6.73
c20 q5 6.64
c20 q6 6.71
c20 q7 6.8
c20 q8 6.73
c20 q9 6.67
c20 q10 6.73
c20 q11 6.4
c20 q12 6.71
c20 q13 5.87
c20 q14 6.43
c20 q15 6.57
c20 q16 6.93
c20 q17 6.53
c20 q18 6.53
c21 q1 6.49
c21 q2 6.22
c21 q3 5.97
c21 q4 6.27
c21 q5 6.24
c21 q6 6.7
c21 q7 6.41
c21 q8 6.22
c21 q9 6.57
c21 q10 6.39
c21 q11 6.05
c21 q12 6.75
c21 q13 6.17
c21 q14 6.42
c21 q15 6.17
c21 q16 6.7
c21 q17 6.71
c21 q18 6.05
c22 q1 6
c22 q2 6.17
c22 q3 6.25
c22 q4 6.08
c22 q5 5.92
c22 q6 6.18
c22 q7 6
c22 q8 6.09
c22 q9 6.17
c22 q10 6.33
c22 q11 6.18
c22 q12 6.14
