height weight IQ limbo
54 100 115 22
54 86 95 21
82 123 120 17
65 104 87 18
60 91 79 22
58 77 102 21
45 89 103 26
56 86 92 19
66 103 84 17
68 99 98 19
58 86 102 17
55 104 85 21
51 85 107 25
53 92 100 23
81 96 97 15
58 96 106 22
72 103 89 14
66 83 102 18
49 70 89 21
38 85 85 24
57 96 87 17
46 75 122 21
69 99 105 16
40 84 118 27
75 111 99 20
64 104 127 14
61 110 101 19
65 94 121 24
52 80 120 21
54 94 94 24
78 103 99 17
60 81 108 22
57 91 97 21
61 97 77 23
58 104 83 19
72 97 99 19
84 120 95 14
48 91 84 19
56 93 100 23
62 86 104 21
62 115 72 23
71 109 100 21
54 93 126 20
51 99 109 17
50 85 110 18
77 118 89 20
68 112 130 22
58 94 96 21
69 101 111 15
62 94 102 18
54 84 103 23
59 85 115 22
59 107 116 18
63 110 81 20
49 69 86 21
42 80 111 26
51 91 96 24
67 98 120 19
57 92 104 19
54 81 99 21
48 77 104 18
73 99 111 20
44 86 98 26
45 77 109 22
68 98 101 19
63 124 88 23
79 102 118 17
68 106 92 21
68 106 123 19
81 109 102 21
50 96 92 20
58 95 102 24
55 94 119 23
49 89 133 25
47 90 94 25
59 93 97 20
55 97 103 21
70 98 84 18
40 68 93 22
50 91 96 17
54 90 118 17
69 103 106 20
53 87 110 19
69 95 97 17
77 95 93 15
57 112 120 22
62 92 109 17
55 89 69 23
44 73 116 17
52 87 118 22
71 117 109 21
57 101 86 19
67 99 122 17
63 97 91 22
49 96 112 20
70 109 101 19
69 94 92 22
59 91 66 20
71 95 76 17
67 106 120 19
