A C E N O
4 2.8 3.8 2.8 3
4.2 4 5 3.8 4
3.8 4 4.2 3.6 4.8
4.6 3 3.6 2.8 3.2
4 4.4 4.8 3.2 3.6
4.6 5.6 5.6 3 5
4.6 4.4 4.2 1.4 5.4
2.6 3.4 2.4 4.2 4.2
3.6 4 3.25 3.6 5
5.4 5.6 4.8 4.2 5.2
4.6 4.2 4.2 3 4.8
5 3.8 4.2 3.5 3.4
4.4 4.4 3.4 1.8 4.6
4.8 4.6 5 1.2 4
2.6 5 4.2 2.6 4.4
4.2 4.2 5.6 4.6 4.2
4.4 3.6 5.2 4.2 5.2
4.2 4.4 5.2 4.8 4.6
3.8 3.6 5 4.6 4
4.6 1.2 5.4 3.4 4.6
2.2 4 4.4 2 4
4.8 4.4 4.4 4.4 5.6
5.6 2.8 4 2 5.4
5.4 3.8 5.2 4.8 5.8
4.8 5.2 5 2 5.4
5 4.8 6 1.8 4.6
4 5.8 4 3.2 5.6
5.6 4 5.8 3.6 5.2
3.8 4.2 5.2 2.8 4
4.8 3.6 5.4 3.4 4.8
5.2 4.4 3.2 5.4 3.8
5.6 4.6 5 2.4 5
5.2 3.2 1.2 2.6 4.8
5 4.4 4.2 2.4 4.2
3.8 3.4 3.6 1.75 4.4
3.2 3 3 3.8 3.6
5.2 4.4 1.8 2.2 4
3.8 4.8 3.6 5 4.2
6 6 5 1 6
4.6 5.2 4.6 1.4 5.8
5.4 3.8 3.8 2.6 4
3.8 4 2.8 1.5 2.6
4.8 4.2 3.8 2.2 4.2
4 3.2 3 3.2 3.2
5.8 4.2 4.8 2.2 5.2
6 3.8 4 3.6 5.2
3.4 3.2 3.4 3.8 3.6
5 2.4 3.6 3 4.2
3.8 4.4 3.4 4.6 4
6 5 6 2.2 5.6
5.6 3.2 4.6 4.8 4.8
5.2 4.8 3.8 2.8 3.8
4.4 4 5.4 1.4 4.4
4 4 3.2 5.4 3
6 5.2 5.4 2.4 4.8
4.6 3.8 4.2 3.6 5.8
3.2 4.6 3.2 4.4 4.6
3.8 4.4 3.6 4 4.4
5 5.4 2.8 3.8 3.8
4.2 4.8 5 1.8 4.6
4.2 2.8 3.2 4.2 3
4.2 4.2 2.8 4.6 4.4
5.6 5.25 5.8 3 4.4
4 5.2 5.8 3 5.2
5.8 5 3.6 4.6 5.2
4.75 5 2.6 1 4.8
4.4 2.2 2.4 3.6 4.8
2.4 2.6 3.4 2.2 6
4.6 4.8 4.6 2.2 4.6
5.4 5.2 2.8 2.4 4.8
4.8 5.4 4.4 2.4 5
4.4 4.4 5 1.8 4.8
3.8 4.6 4.8 4.4 4
5 5.2 3.2 3 5
4.6 5.4 4.6 2 5
5.2 4.8 5.4 2.4 4.2
5.8 5 5.8 2 5
5 4.6 5.6 4.2 4.6
3.2 3.2 3.6 2.8 3
5 2.8 3.8 3.2 4.2
5 4.4 3.6 3.2 5.4
3.8 4.8 2.8 5 6
4.8 3 3.4 4.4 5.6
5.8 5.6 4.8 2.4 4
5 4.6 3.8 4.6 4.8
4.4 3.6 3.4 2.8 3.2
5.2 4.6 3.8 2.4 3.6
5.4 3.6 4.8 2 5
5.2 4.2 5 2.2 4.2
4.4 3.5 3.4 3.4 4.2
5.2 4.4 4.8 1.6 5.4
4.8 4.2 3.6 3.4 5.6
4.6 2.6 3.6 4.2 2.8
5.4 5.8 5.4 3.6 5.6
5 5 3.8 4 3
3.6 4.8 2.2 5 4.2
2.2 1.4 1 4 5.2
5.2 5.2 3.6 1.2 5.6
3.8 4.2 3 5.4 4.4
4 3.4 3.2 1.4 4
4.6 3.4 4 4.75 5.6
3.6 3.8 4.2 3.2 4.6
4.4 4.8 3.6 4.6 5.6
4.6 1.8 2.4 2 3.6
3.6 5.2 1.4 4.8 3.8
5.8 3 4 4 4.6
4.6 6 3.6 4.25 5.6
